Year,Type,Country,Age,Fatal (Y/N),Activity,Specie,Month,Sex
2016,Unprovoked,AUSTRALIA,31,False,Fishing,unknown,1,M
2015,Unprovoked,SPAIN,38,False,Water Activity,unknown,12,F
2015,Unprovoked,USA,71,False,Unknown,unknown,12,M
2015,Unprovoked,AUSTRALIA,43,False,Water Activity,unknown,12,M
2015,Unprovoked,BRAZIL,32,False,Unknown,tiger,12,M
2015,Unprovoked,ARUBA,58,True,Unknown,unknown,12,M
2015,Unprovoked,BAHAMAS,26,False,Unknown,bull,12,M
2015,Unprovoked,SOUTH AFRICA,22,False,Unknown,unknown,12,F
2015,Unprovoked,ECUADOR,55,False,Water Activity,unknown,11,M
2015,Unprovoked,USA,28,False,Water Activity,unknown,11,M
2015,Unprovoked,AUSTRALIA,20,False,Water Activity,bull,11,M
2015,Invalid,USA,9,False,Water Activity,unknown,11,F
2015,Unprovoked,USA,54,False,Water Activity,unknown,11,M
2015,Unprovoked,USA,28,False,Unknown,unknown,11,F
2015,Unprovoked,MOZAMBIQUE,19,False,Fishing,unknown,11,M
2015,Unprovoked,AUSTRALIA,50,False,Fishing,unknown,10,M
2015,Unprovoked,USA,10,False,Unknown,unknown,10,M
2015,Unprovoked,SOUTH AFRICA,42,False,Water Activity,white,10,M
2015,Unprovoked,USA,21,False,Water Activity,unknown,10,M
2015,Unprovoked,USA,21,False,Water Activity,unknown,10,M
2015,Unprovoked,MOZAMBIQUE,35,True,Unknown,unknown,10,F
2015,Invalid,USA,32,False,Water Activity,unknown,10,M
2015,Unprovoked,USA,44,False,Water Activity,tiger,10,M
2015,Unprovoked,USA,9,False,Unknown,unknown,10,F
2015,Unprovoked,USA,25,False,Water Activity,tiger,10,M
2015,Unprovoked,AUSTRALIA,18,False,Water Activity,unknown,10,M
2015,Unprovoked,USA,22,False,Unknown,unknown,10,M
2015,Unprovoked,USA,13,False,Unknown,unknown,10,M
2015,Unprovoked,USA,14,False,Water Activity,blacktip,10,M
2015,Unprovoked,USA,22,False,Water Activity,blacktip,9,M
2015,Unprovoked,AUSTRALIA,7,False,Water Activity,unknown,9,F
2015,Unprovoked,USA,14,False,Water Activity,unknown,9,M
2015,Unprovoked,USA,27,False,Fishing,tiger,9,M
2015,Unprovoked,USA,12,False,Unknown,unknown,9,M
2015,Unprovoked,USA,16,False,Unknown,unknown,9,M
2015,Unprovoked,USA,20,False,Water Activity,unknown,9,M
2015,Unprovoked,AUSTRALIA,42,False,Water Activity,unknown,9,M
2015,Unprovoked,USA,50,False,Unknown,white,9,F
2015,Provoked,USA,29,False,Unknown,hammerhead,9,M
2015,Unprovoked,AUSTRALIA,62,False,Unknown,white,9,M
2015,Unprovoked,THAILAND,37,False,Unknown,unknown,9,F
2015,Unprovoked,USA,54,False,Water Activity,white,8,F
2015,Unprovoked,USA,21,False,Water Activity,white,8,M
2015,Unprovoked,AUSTRALIA,38,False,Water Activity,unknown,8,M
2015,Unprovoked,USA,15,False,Water Activity,unknown,8,M
2015,Unprovoked,USA,10,False,Unknown,unknown,8,F
2015,Unprovoked,USA,22,False,Unknown,white,8,M
2015,Invalid,SPAIN,10,False,Water Activity,unknown,8,M
2015,Provoked,USA,57,False,Fishing,hammerhead,8,M
2015,Unprovoked,AUSTRALIA,52,False,Water Activity,white,7,M
2015,Unprovoked,USA,25,False,Water Activity,blacktip,7,M
2015,Invalid,USA,35,False,Unknown,unknown,7,F
2015,Unprovoked,AUSTRALIA,46,True,Unknown,white,7,M
2015,Provoked,USA,31,False,Unknown,mako,7,M
2015,Unprovoked,AUSTRALIA,40,False,Water Activity,unknown,7,M
2015,Unprovoked,REUNION,45,False,Water Activity,bull,7,M
2015,Unprovoked,SOUTH AFRICA,34,False,Water Activity,white,7,M
2015,Unprovoked,USA,38,False,Water Activity,white,7,M
2015,Invalid,USA,39,False,Unknown,unknown,7,M
2015,Unprovoked,BAHAMAS,23,False,Fishing,unknown,7,F
2015,Unprovoked,USA,32,False,Unknown,unknown,7,M
2015,Unprovoked,AUSTRALIA,52,False,Water Activity,white,7,M
2015,Unprovoked,AUSTRALIA,32,False,Unknown,white,7,M
2015,Unprovoked,USA,68,False,Water Activity,unknown,7,M
2015,Unprovoked,USA,12,False,Unknown,unknown,6,M
2015,Unprovoked,USA,18,False,Water Activity,bull,6,M
2015,Unprovoked,SOUTH AFRICA,19,False,Unknown,white,6,M
2015,Unprovoked,SOUTH AFRICA,23,False,Water Activity,white,6,M
2015,Unprovoked,USA,43,False,Other,unknown,6,M
2015,Provoked,AUSTRALIA,19,False,Water Activity,unknown,6,M
2015,Unprovoked,USA,47,False,Unknown,unknown,6,M
2015,Unprovoked,USA,6,False,Water Activity,tiger,6,M
2015,Invalid,AUSTRALIA,37,False,Water Activity,white,6,F
2015,Unprovoked,USA,9,False,Other,unknown,6,M
2015,Unprovoked,PUERTO RICO,36,False,Fishing,unknown,6,M
2015,Unprovoked,USA,10,False,Water Activity,unknown,6,M
2015,Unprovoked,USA,16,False,Unknown,bull,6,M
2015,Unprovoked,USA,12,False,Unknown,bull,6,F
2015,Unprovoked,USA,13,False,Unknown,unknown,6,F
2015,Unprovoked,USA,11,False,Unknown,bull,6,M
2015,Unprovoked,USA,17,False,Unknown,nurse,6,F
2015,Unprovoked,REUNION,47,False,Water Activity,bull,6,M
2015,Unprovoked,USA,14,False,Other,unknown,5,F
2015,Unprovoked,USA,19,False,Unknown,unknown,5,F
2015,Unprovoked,FRENCH POLYNESIA,19,False,Fishing,unknown,5,M
2015,Unprovoked,USA,13,False,Water Activity,unknown,5,F
2015,Unprovoked,USA,18,False,Water Activity,unknown,5,M
2015,Unprovoked,USA,30,False,Unknown,unknown,5,M
2015,Unprovoked,NEW CALEDONIA,50,True,Water Activity,bull,5,M
2015,Unprovoked,SOUTH AFRICA,29,False,Water Activity,white,5,M
2015,Unprovoked,USA,65,True,Water Activity,unknown,4,F
2015,Unprovoked,USA,63,False,Unknown,unknown,4,M
2015,Unprovoked,AUSTRALIA,26,False,Water Activity,white,4,M
2015,Unprovoked,AUSTRALIA,71,False,Unknown,white,6,M
2015,Unprovoked,USA,48,False,Unknown,blue,4,M
2015,Unprovoked,REUNION,13,True,Water Activity,bull,4,M
2015,Unprovoked,USA,70,False,Fishing,bull,4,M
2015,Invalid,ITALY,43,True,Water Activity,unknown,3,M
2015,Invalid,BRAZIL,23,False,Water Activity,unknown,3,M
2015,Boat,SOUTH AFRICA,36,False,Unknown,white,3,M
2015,Unprovoked,EGYPT,52,True,Water Activity,mako,3,M
2015,Unprovoked,USA,58,False,Unknown,tiger,3,M
2015,Unprovoked,FRENCH POLYNESIA,9,False,Unknown,blacktip,3,M
2015,Provoked,MEXICO,36,False,Fishing,unknown,3,M
2015,Unprovoked,REUNION,22,True,Water Activity,tiger,2,F
2015,Unprovoked,AUSTRALIA,41,True,Water Activity,unknown,2,M
2015,Unprovoked,AUSTRALIA,35,False,Water Activity,unknown,2,M
2015,Boat,AUSTRALIA,57,False,Unknown,bull,1,M
2015,Provoked,USA,20,False,Unknown,unknown,1,M
2015,Unprovoked,SOUTH AFRICA,24,False,Unknown,unknown,1,M
2015,Unprovoked,AUSTRALIA,17,False,Unknown,unknown,1,M
2015,Invalid,USA,38,False,Unknown,unknown,1,M
2015,Unprovoked,BAHAMAS,34,False,Water Activity,white,1,F
2015,Unprovoked,SOUTH AFRICA,15,False,Water Activity,unknown,1,M
2015,Unprovoked,USA,12,False,Unknown,unknown,1,M
2014,Unprovoked,AUSTRALIA,17,True,Fishing,white,12,M
2014,Unprovoked,USA,50,False,Water Activity,white,12,M
2014,Unprovoked,AUSTRALIA,17,True,Fishing,tiger,12,M
2014,Unprovoked,AUSTRALIA,13,False,Water Activity,unknown,11,M
2014,Provoked,MAURITIUS,39,True,Fishing,unknown,11,M
2014,Unprovoked,USA,44,False,Water Activity,unknown,11,M
2014,Unprovoked,USA,53,False,Water Activity,unknown,11,M
2014,Unprovoked,USA,18,False,Water Activity,unknown,11,M
2014,Unprovoked,USA,34,False,Water Activity,tiger,10,F
2014,Provoked,AUSTRALIA,20,False,Water Activity,unknown,10,M
2014,Unprovoked,AUSTRALIA,13,False,Water Activity,unknown,10,F
2014,Unprovoked,USA,7,False,Unknown,bull,10,F
2014,Unprovoked,USA,29,False,Water Activity,blacktip,10,M
2014,Unprovoked,USA,40,False,Fishing,unknown,10,F
2014,Unprovoked,USA,15,False,Water Activity,blacktip,10,M
2014,Unprovoked,USA,28,False,Water Activity,unknown,10,M
2014,Unprovoked,AUSTRALIA,23,False,Water Activity,white,10,M
2014,Unprovoked,FRENCH POLYNESIA,36,False,Unknown,blacktip,9,F
2014,Unprovoked,AUSTRALIA,50,True,Water Activity,unknown,9,M
2014,Unprovoked,USA,43,False,Unknown,bull,9,M
2014,Provoked,USA,52,False,Fishing,unknown,9,M
2014,Unprovoked,SPAIN,16,False,Unknown,unknown,9,M
2014,Unprovoked,USA,13,False,Unknown,unknown,8,F
2014,Unprovoked,USA,17,False,Water Activity,blacktip,8,M
2014,Provoked,USA,33,False,Fishing,unknown,8,M
2014,Unprovoked,USA,29,False,Water Activity,unknown,8,M
2014,Unprovoked,AUSTRALIA,31,False,Fishing,unknown,8,M
2014,Unprovoked,USA,26,False,Unknown,unknown,8,M
2014,Unprovoked,USA,10,False,Water Activity,unknown,8,F
2014,Unprovoked,USA,7,False,Water Activity,bull,8,M
2014,Unprovoked,USA,10,False,Unknown,unknown,8,M
2014,Unprovoked,USA,45,False,Water Activity,unknown,8,F
2014,Unprovoked,USA,8,False,Unknown,unknown,8,M
2014,Unprovoked,SOUTH AFRICA,20,False,Water Activity,white,8,M
2014,Unprovoked,REUNION,51,False,Water Activity,unknown,7,M
2014,Unprovoked,USA,8,False,Other,unknown,7,M
2014,Unprovoked,USA,61,False,Water Activity,unknown,7,M
2014,Unprovoked,USA,39,False,Water Activity,unknown,7,M
2014,Invalid,BAHAMAS,63,True,Unknown,unknown,7,M
2014,Unprovoked,USA,14,False,Water Activity,unknown,7,M
2014,Unprovoked,USA,19,False,Unknown,unknown,7,M
2014,Boat,ST. MARTIN,48,False,Unknown,white,6,M
2014,Unprovoked,BAHAMAS,42,False,Fishing,unknown,6,M
2014,Unprovoked,AUSTRALIA,15,False,Unknown,unknown,6,M
2014,Unprovoked,BRAZIL,43,False,Fishing,unknown,6,M
2014,Unprovoked,USA,16,False,Other,unknown,6,M
2014,Unprovoked,AUSTRALIA,39,False,Unknown,unknown,6,M
2014,Unprovoked,JAPAN,43,False,Water Activity,unknown,6,M
2014,Unprovoked,USA,14,False,Unknown,unknown,6,F
2014,Unprovoked,USA,22,False,Water Activity,bull,6,F
2014,Unprovoked,USA,37,False,Unknown,blacktip,6,F
2014,Unprovoked,AUSTRALIA,29,False,Unknown,bull,5,F
2014,Provoked,AUSTRALIA,10,False,Unknown,nurse,5,M
2014,Unprovoked,USA,38,False,Unknown,unknown,5,F
2014,Unprovoked,AUSTRALIA,35,False,Water Activity,white,5,M
2014,Unprovoked,USA,44,False,Unknown,unknown,5,F
2014,Unprovoked,USA,12,False,Water Activity,unknown,5,M
2014,Unprovoked,USA,40,False,Water Activity,unknown,5,F
2014,Unprovoked,USA,23,False,Water Activity,unknown,5,M
2014,Unprovoked,USA,42,False,Water Activity,unknown,4,M
2014,Unprovoked,USA,25,False,Unknown,unknown,4,M
2014,Unprovoked,AUSTRALIA,63,True,Water Activity,white,4,F
2014,Invalid,AUSTRALIA,38,True,Unknown,unknown,3,M
2014,Unprovoked,SOUTH AFRICA,66,True,Water Activity,unknown,3,M
2014,Unprovoked,USA,9,False,Water Activity,unknown,3,M
2014,Unprovoked,NEW CALEDONIA,42,False,Unknown,unknown,3,M
2014,Unprovoked,AUSTRALIA,42,False,Water Activity,unknown,3,M
2014,Invalid,AUSTRALIA,10,False,Unknown,unknown,3,F
2014,Unprovoked,USA,21,False,Water Activity,blacktip,3,M
2014,Unprovoked,FRENCH POLYNESIA,21,False,Unknown,blacktip,2,M
2014,Boat,PAPUA NEW GUINEA,21,False,Unknown,unknown,2,M
2014,Unprovoked,AUSTRALIA,28,True,Unknown,unknown,2,M
2014,Unprovoked,NEW ZEALAND,28,False,Water Activity,unknown,2,M
2014,Unprovoked,NEW ZEALAND,24,False,Fishing,unknown,1,M
2014,Sea Disaster,JAPAN,31,False,Unknown,unknown,1,M
2013,Unprovoked,NEW CALEDONIA,37,False,Water Activity,bull,12,M
2013,Unprovoked,SOUTH AFRICA,19,False,Water Activity,white,12,M
2013,Unprovoked,KIRIBATI,35,False,Unknown,unknown,12,M
2013,Unprovoked,USA,29,False,Unknown,tiger,12,M
2013,Unprovoked,USA,30,False,Water Activity,unknown,12,M
2013,Unprovoked,AUSTRALIA,26,False,Water Activity,unknown,12,M
2013,Unprovoked,USA,57,True,Unknown,unknown,12,M
2013,Unprovoked,AUSTRALIA,19,True,Unknown,tiger,11,M
2013,Unprovoked,USA,58,False,Water Activity,unknown,11,F
2013,Unprovoked,AUSTRALIA,35,True,Water Activity,white,11,M
2013,Unprovoked,USA,25,False,Water Activity,white,11,M
2013,Provoked,BAHAMAS,77,False,Unknown,unknown,11,M
2013,Unprovoked,USA,16,False,Unknown,unknown,11,M
2013,Unprovoked,USA,46,False,Unknown,tiger,10,M
2013,Unprovoked,AUSTRALIA,60,False,Water Activity,blacktip,10,F
2013,Unprovoked,REUNION,24,False,Unknown,bull,10,M
2013,Unprovoked,AUSTRALIA,41,False,Water Activity,unknown,10,M
2013,Unprovoked,USA,45,False,Unknown,white,10,M
2013,Unprovoked,USA,25,False,Water Activity,tiger,10,M
2013,Unprovoked,USA,6,False,Unknown,nurse,10,M
2013,Unprovoked,SOUTH AFRICA,74,True,Unknown,white,10,M
2013,Unprovoked,AUSTRALIA,55,False,Unknown,white,10,M
2013,Unprovoked,USA,45,False,Water Activity,white,10,M
2013,Unprovoked,USA,12,False,Unknown,bull,10,M
2013,Unprovoked,USA,50,False,Water Activity,unknown,9,M
2013,Provoked,ISRAEL,27,False,Water Activity,unknown,9,M
2013,Unprovoked,USA,7,False,Other,unknown,9,M
2013,Unprovoked,USA,45,False,Water Activity,unknown,9,M
2013,Unprovoked,USA,21,False,Water Activity,bull,9,M
2013,Unprovoked,USA,13,False,Water Activity,unknown,9,F
2013,Provoked,USA,43,False,Water Activity,unknown,9,M
2013,Unprovoked,USA,25,False,Other,unknown,9,M
2013,Unprovoked,USA,17,False,Water Activity,unknown,9,M
2013,Provoked,USA,3,False,Unknown,nurse,9,M
2013,Unprovoked,USA,9,False,Unknown,unknown,9,M
2013,Invalid,USA,47,False,Unknown,unknown,8,F
