Year,Type,Country,Sex ,Age,Fatal (Y/N)
2013.0,Unprovoked,USA,M,21,N
2013.0,Unprovoked,USA,F,13,N
2013.0,Provoked,USA,M,43,N
2013.0,Unprovoked,USA,M,25,N
2013.0,Unprovoked,USA,M,17,N
2013.0,Provoked,USA,M,3,N
2013.0,Unprovoked,USA,M,9,N
2013.0,Invalid,USA,F,47,N
2013.0,Provoked,FRANCE,M,50,N
2013.0,Unprovoked,USA,F,11,N
2013.0,Unprovoked,USA,M,16,N
2013.0,Unprovoked,USA,F,20,Y
2013.0,Unprovoked,USA,F,19,N
2013.0,Unprovoked,USA,M,10,N
2013.0,Unprovoked,USA,M,17,N
2013.0,Unprovoked,USA,F,56,N
2013.0,Unprovoked,USA,M,32,N
2013.0,Unprovoked,BAHAMAS,M,40,N
2013.0,Unprovoked,USA,M,18,N
2013.0,Unprovoked,BAHAMAS,M,64,N
2013.0,Unprovoked,BAHAMAS,M,50,N
2013.0,Unprovoked,BRAZIL,F,18,Y
2013.0,Unprovoked,USA,F,50,N
2013.0,Unprovoked,USA,M,teen,N
2013.0,Unprovoked,REUNION,F,15,Y
2013.0,Unprovoked,DIEGO GARCIA,M,33,Y
2013.0,Unprovoked,USA,F,63,N
2013.0,Invalid,SPAIN,M,48,N
2013.0,Unprovoked,AUSTRALIA,M,29,N
2013.0,Invalid,JAMAICA,M,20,Y
2013.0,Unprovoked,USA,M,14,N
2013.0,Unprovoked,USA,M,28,N
2013.0,Unprovoked,USA,M,15,N
2013.0,Unprovoked,USA,F,10,N
2013.0,Provoked,USA,M,58,N
2013.0,Unprovoked,USA,M,32,N
2013.0,Unprovoked,USA,M,11,N
2013.0,Unprovoked,BRAZIL,M,41,Y
2013.0,Provoked,PALESTINIAN TERRITORIES,M,30,N
2013.0,Unprovoked,ECUADOR,M,29,N
2013.0,Invalid,USA,M,42,Y
2013.0,Unprovoked,REUNION,M,36,Y
2013.0,Unprovoked,USA,M,16,N
2013.0,Unprovoked,MEXICO,F,34,N
2013.0,Unprovoked,AUSTRALIA,M,51,N
2013.0,Unprovoked,USA,M,9,N
2013.0,Unprovoked,USA,M,21,N
2013.0,Unprovoked,GUAM,M,40,Y
2013.0,Unprovoked,FRENCH POLYNESIA,M,53,N
2013.0,Unprovoked,USA,M,50,N
2013.0,Invalid,AUSTRALIA,M,24,Y
2013.0,Unprovoked,USA,M,58,N
2013.0,Invalid,AUSTRALIA,M,47,N
2013.0,Unprovoked,SEYCHELLES,M,34,N
2013.0,Unprovoked,BAHAMAS,M,50,N
2013.0,Provoked,SOUTH AFRICA,M,30,N
2013.0,Unprovoked,JAMAICA,M,68,Y
2013.0,Unprovoked,AUSTRALIA,M,28,N
2013.0,Unprovoked,PHILIPPINES,M,28 & 26,N
2013.0,Unprovoked,SOUTH AFRICA,M,39,N
2013.0,Unprovoked,NEW ZEALAND,M,46,Y
2013.0,Unprovoked,USA,M,16,N
2013.0,Unprovoked,FRENCH POLYNESIA,M,48,N
2013.0,Unprovoked,JAMAICA,M,18,N
2013.0,Invalid,AUSTRALIA,M,62,N
2013.0,Unprovoked,USA,M,43,N
2013.0,Unprovoked,AUSTRALIA,M,26,N
2012.0,Unprovoked,AUSTRALIA,M,23,N
2012.0,Unprovoked,AUSTRALIA,M,29,N
2012.0,Unprovoked,SOUTH AFRICA,M,20,Y
2012.0,Unprovoked,AUSTRALIA,M,32,N
2012.0,Unprovoked,USA,M,60,N
2012.0,Unprovoked,AUSTRALIA,M,31,N
2012.0,Unprovoked,NEW ZEALAND,F,25,N
2012.0,Unprovoked,USA,M,61,N
2012.0,Invalid,AUSTRALIA,M,20,N
2012.0,Unprovoked,MEXICO,M,32,Y
2012.0,Unprovoked,USA,M,14,N
2012.0,Unprovoked,USA,M,30,N
2012.0,Unprovoked,USA,M,43,N
2012.0,Unprovoked,USA,M,25,N
2012.0,Unprovoked,USA,F,51,N
2012.0,Unprovoked,USA,M,39,Y
2012.0,Unprovoked,USA,F,35,N
2012.0,Unprovoked,USA,M,24,N
2012.0,Unprovoked,USA,M,55,N
2012.0,Unprovoked,NIGERIA,F,38,N
2012.0,Unprovoked,USA,M,42,N
2012.0,Unprovoked,AUSTRALIA,M,11,N
2012.0,Unprovoked,USA,M,21,N
2012.0,Unprovoked,USA,M,22,N
2012.0,Unprovoked,USA,M,52,N
2012.0,Unprovoked,TONGA,F,29,N
2012.0,Unprovoked,USA,M,25,N
2012.0,Unprovoked,USA,M,30s,N
2012.0,Unprovoked,USA,M,37,N
2012.0,Unprovoked,USA,M,32,N
2012.0,Unprovoked,USA,F,8,N
2012.0,Unprovoked,USA,F,56,N
2012.0,Provoked,SCOTLAND,M,53,N
2012.0,Unprovoked,AUSTRALIA,M,34,N
2012.0,Unprovoked,BRAZIL,M,18,Y
2012.0,Unprovoked,USA,M,31,N
